,username,repo_name,stars,repo_url
0,mrdoob,three.js,98600,https://github.com/mrdoob/three.js
1,pmndrs,react-three-fiber,25800,https://github.com/pmndrs/react-three-fiber
2,libgdx,libgdx,22600,https://github.com/libgdx/libgdx
3,BabylonJS,Babylon.js,22400,https://github.com/BabylonJS/Babylon.js
4,ssloy,tinyrenderer,19300,https://github.com/ssloy/tinyrenderer
5,FreeCAD,FreeCAD,17300,https://github.com/FreeCAD/FreeCAD
6,lettier,3d-game-shaders-for-beginners,17000,https://github.com/lettier/3d-game-shaders-for-beginners
7,aframevr,aframe,16100,https://github.com/aframevr/aframe
8,CesiumGS,cesium,11800,https://github.com/CesiumGS/cesium
9,blender,blender,11300,https://github.com/blender/blender
10,MonoGame,MonoGame,10700,https://github.com/MonoGame/MonoGame
11,isl-org,Open3D,10400,https://github.com/isl-org/Open3D
12,metafizzy,zdog,10200,https://github.com/metafizzy/zdog
13,timzhang642,3D-Machine-Learning,9400,https://github.com/timzhang642/3D-Machine-Learning
14,nerfstudio-project,nerfstudio,8400,https://github.com/nerfstudio-project/nerfstudio
15,a1studmuffin,SpaceshipGenerator,7600,https://github.com/a1studmuffin/SpaceshipGenerator
16,domlysz,BlenderGIS,7200,https://github.com/domlysz/BlenderGIS
17,FyroxEngine,Fyrox,7100,https://github.com/FyroxEngine/Fyrox
18,google,model-viewer,6500,https://github.com/google/model-viewer
19,openscad,openscad,6400,https://github.com/openscad/openscad
